changed,file,id,title,current,proposed,proposed_titles,rationale
YES,learn/career/unions-guilds-and-professional-orgs.md,CAREER-112,"Unions, Guilds, and Professional Orgs",3.1,"3.7,7.9",Professional Organizations & Unions | Unions and Organized Labor,"3.7 IS 'Professional Organizations & Unions'. Exact match, previously dropped."
YES,learn/character/base-mesh-sculpt-blockout.md,CHAR-102,Sculpt Blockout & Base Meshes,AV.17.4,"AV.17.8,AV.17.2","3D Animation Fundamentals | Life Drawing, Anatomy & Perspective",Base mesh modeling of characters.
YES,learn/character/character-concept-and-proportions.md,CHAR-101,Character Proportions & Silhouette,AV.17.4,"AV.17.2,GD.17.5","Life Drawing, Anatomy & Perspective | Character Design",Proportion and silhouette draw on anatomy and character design.
YES,learn/character/character-topology-and-deform-flow.md,CHAR-202,Deformable Character Topology,AV.17.4,"AV.17.8,GD.17.4",3D Animation Fundamentals | Art & Design Fundamentals,Deform-ready topology supports rigging and animation.
YES,learn/character/costume-clothing-and-armor-modeling.md,CHAR-301,Clothing & Armor Modeling,AV.17.4,"AV.17.4,GD.17.5",Character Design & Posing | Character Design,AV.17.4 names costume designs.
YES,learn/character/facial-structure-and-anatomy.md,CHAR-201,Facial Structure & Planes,AV.17.4,AV.17.2,"Life Drawing, Anatomy & Perspective",AV.17.2 names facial expressions and anatomy.
YES,learn/character/hair-cards-and-grooming.md,CHAR-302,Hair Cards & Alpha Textures,AV.17.4,"AV.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,Hair cards are a shading and asset technique.
YES,learn/character/skin-and-character-pbr-texturing.md,CHAR-401,Skin & Character Texturing,10.3,"AV.17.1,GD.17.5",Art & Design Fundamentals | Character Design,"Skin texturing is color and shading, not 10.3 visualization."
YES,learn/computing/accounts-passwords-phishing.md,COMP-111,"Accounts, Passwords, Phishing","4.6,6.3",4.1,Digital Safety & Information Integrity,4.1 names phishing and malware directly. 4.6 is AI applications.
YES,learn/computing/cloud-vs-local-storage-and-backup.md,COMP-106,Cloud vs Local Storage and Backup,4.4,"4.4,4.5",Computing Systems | Document & Asset Management,Cloud services named in 4.4; backup protocols in 4.5.
YES,learn/computing/ergonomics-and-the-workstation.md,COMP-110,Ergonomics and the Workstation,"4.3,6.1",6.3,Self Care & Injury Prevention,6.3 names ergonomics explicitly.
YES,learn/computing/file-types-and-extensions.md,COMP-104,File Types and Extensions,2.7,4.5,Document & Asset Management,File types belong with asset management. 2.7 is digital citizenship.
YES,learn/computing/files-folders-and-paths.md,COMP-103,"Files, Folders, and Paths","2.7,4.5",4.5,Document & Asset Management,File and folder structure is document and asset management.
YES,learn/computing/installing-and-updating-software.md,COMP-107,Installing and Updating Software,4.2,4.3,Industry-Standard Technology,Installing industry-standard software. 4.2 is business collaboration tools.
YES,learn/computing/naming-conventions.md,COMP-105,Naming Conventions,"2.7,4.5",4.5,Document & Asset Management,File naming conventions named in 4.5.
YES,learn/computing/operating-systems-and-why-they-differ.md,COMP-102,Operating Systems and Why They Differ,4.1,4.4,Computing Systems,Operating systems named in 4.4.
YES,learn/computing/reading-a-spec-sheet.md,COMP-108,Reading a Spec Sheet,4.1,4.4,Computing Systems,Hardware and system specs are computing systems.
YES,learn/computing/staying-safe-and-private-online.md,COMP-112,Staying Safe and Private Online,"4.6,6.3","4.1,2.7",Digital Safety & Information Integrity | Digital Citizenship,Privacy is 4.1; responsible digital conduct is 2.7.
YES,learn/computing/what-a-computer-is-doing.md,COMP-101,What a Computer Is Doing,4.1,4.4,Computing Systems,"4.4 is Computing Systems. 4.1 is digital safety, a different standard."
YES,learn/design/color-modes-and-spaces.md,DESN-106,Color Modes and Spaces,10.4,DGA.17.1,Art & Design Fundamentals,DGA.17.1 names color modes explicitly.
YES,learn/design/color-scripting-and-mood.md,DESN-201,Color Scripting and Mood,10.4,"AV.17.1,DGA.17.1",Art & Design Fundamentals | Art & Design Fundamentals,"Color to establish time, atmosphere, and mood."
YES,learn/design/color-theory-basics.md,DESN-105,Color Theory Basics,10.4,"DGA.17.1,AV.17.1",Art & Design Fundamentals | Art & Design Fundamentals,Both standards name color theory.
YES,learn/design/composition-and-focal-point.md,DESN-107,Composition and Focal Point,10.5,"AV.17.3,DGA.17.1",Layouts & Environments | Art & Design Fundamentals,AV.17.3 is principles of visual composition.
YES,learn/design/elements-of-art.md,DESN-101,Elements of Art,10.2,"DGA.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,"Elements of art are the design fundamentals standards, not 10.2 ideation."
YES,learn/design/iteration-and-revision.md,DESN-115,Iteration and Revision,5.3,"10.5,5.3",Iteration & Feedback | Reflection & Iterative Processes,10.5 is Iteration & Feedback.
YES,learn/design/line-shape-and-form.md,DESN-103,"Line, Shape, and Form","10.2,10.3","DGA.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,Core elements.
YES,learn/design/mood-boards-and-reference.md,DESN-111,Mood Boards and Reference,1.3,10.3,Visualization Techniques,10.3 names mood boards explicitly. 1.3 is historical influences.
YES,learn/design/perspective-and-depth.md,DESN-108,Perspective and Depth,"10.3,10.5","AV.17.2,AV.17.3","Life Drawing, Anatomy & Perspective | Layouts & Environments",AV.17.2 names perspective and depth of field.
YES,learn/design/principles-of-design.md,DESN-102,Principles of Design,10.2,"DGA.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,Principles of design.
YES,learn/design/shape-language-in-character-design.md,DESN-203,Shape Language in Character Design,"10.3,15.2","GD.17.5,AV.17.4",Character Design | Character Design & Posing,GD.17.5 is Character Design.
YES,learn/design/silhouette-and-readability.md,DESN-202,Silhouette and Readability,10.3,"GD.17.4,AV.17.4",Art & Design Fundamentals | Character Design & Posing,Silhouette readability in character and prop design.
YES,learn/design/storyboarding-basics.md,DESN-112,Storyboarding Basics,"15.1,AV.17.5","AV.17.5,15.5",Storyboarding | Pre-Production Planning,AV.17.5 is Storyboarding.
YES,learn/design/the-critique-process.md,DESN-114,The Critique Process,5.2,"5.2,8.4",Accepting & Applying Critique | Constructive Feedback,Accepting critique plus giving constructive feedback.
YES,learn/design/thumbnails-and-ideation.md,DESN-110,Thumbnails and Ideation,"1.3,10.3","10.2,10.3",Developing Ideas | Visualization Techniques,Ideation is 10.2; thumbnails are a 10.3 visualization technique.
YES,learn/design/typography-basics.md,DESN-109,Typography Basics,10.2,DGA.17.4,Typography & Visual Messaging,DGA.17.4 IS Typography & Visual Messaging. Exact match.
YES,learn/design/value-and-contrast.md,DESN-104,Value and Contrast,"10.3,GD.17.4,DGA.17.1","DGA.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,DGA.17.1 names contrast and shading.
YES,learn/design/wireframes-and-layout.md,DESN-113,Wireframes and Layout,10.5,"10.3,DGA.17.6",Visualization Techniques | UX & UI Design,10.3 names wireframes; DGA.17.6 covers UX/UI wireframing.
YES,learn/gamedesign/accessibility-in-games.md,GAME-109,Accessibility in Games,"GD.20.3,DGA.20.2",GD.20.2,Accessibility & Ethics,"GD.20.2 names subtitles, colorblind modes, control remapping. GD.20.3 is programming languages."
YES,learn/gamedesign/economy-and-progression.md,GAME-202,Economy and Progression,GD.18.7,GD.17.7,Gameplay Systems & Balancing,Economy is named in GD.17.7's supporting systems.
YES,learn/gamedesign/game-feel-and-feedback.md,GAME-203,Game Feel and Feedback,GD.17.7,GD.17.8,Feedback Systems,GD.17.8 IS Feedback Systems.
YES,learn/gamedesign/genres-and-player-profiles.md,GAME-103,Genres and Player Profiles,GD.19.1,GD.17.2,Game Concept Development,GD.17.2 names genre choice and target player profiles.
YES,learn/gamedesign/level-design-basics.md,GAME-105,Level Design Basics,GD.17.8,"GD.17.6,GD.17.1",Scripting & Level Layout | Game Design Fundamentals,GD.17.6 covers structuring levels to guide player movement.
YES,learn/gamedesign/mechanics-dynamics-aesthetics.md,GAME-104,"Mechanics, Dynamics, Aesthetics",GD.17.7,"GD.17.1,GD.17.7",Game Design Fundamentals | Gameplay Systems & Balancing,MDA is a fundamentals framework for systems.
YES,learn/gamedesign/monetization-models.md,GAME-206,Monetization Models,GD.19.4,GD.18.9,Monetization,GD.18.9 IS Monetization. GD.19.4 is a careers standard.
YES,learn/gamedesign/multiplayer-and-networking-concepts.md,GAME-207,Multiplayer and Networking Concepts,GD.19.2,GD.17.9,Multiplayer & Networking Basics,GD.17.9 IS Multiplayer & Networking Basics. GD.19.2 is careers.
YES,learn/gamedesign/narrative-in-games.md,GAME-107,Narrative in Games,"15.1,GD.18.4",GD.17.3,Narrative Design,GD.17.3 IS Narrative Design. Exact match.
YES,learn/gamedesign/player-guidance-and-affordance.md,GAME-106,Player Guidance and Affordance,GD.17.3,"GD.17.8,GD.18.5",Feedback Systems | Player Immersion,"Affordance and guidance are feedback and immersion, not narrative."
YES,learn/gamedesign/rapid-prototyping.md,GAME-208,Rapid Prototyping,GD.18.2,"GD.18.3,GD.18.6",Concept Pitch & Iteration | Playtesting,Prototyping and iterating on concepts.
YES,learn/gamedesign/systems-and-balancing.md,GAME-201,Systems and Balancing,GD.18.7,GD.17.7,Gameplay Systems & Balancing,GD.17.7 IS Gameplay Systems & Balancing.
YES,learn/gamedesign/the-core-loop.md,GAME-102,The Core Loop,GD.17.7,"GD.17.1,GD.17.7",Game Design Fundamentals | Gameplay Systems & Balancing,Core loop is a gameplay system.
YES,learn/gamedesign/ux-and-ui-principles.md,GAME-108,UX and UI Principles,"GD.20.2,DC.20.5",GD.18.7,UX & UI,GD.18.7 IS UX & UI. GD.20.2 is accessibility and ethics.
YES,learn/gamedesign/what-is-a-game.md,GAME-101,What Is a Game,GD.19.1,GD.17.1,Game Design Fundamentals,GD.17.1 IS Game Design Fundamentals. GD.19.1 is a careers standard.
YES,learn/law/ai-authorship-and-ownership.md,LAW-109,"AI, Authorship, and Ownership","4.7,14.1","14.2,4.6",Fair Use | Industry-Specific Artificial Intelligence (AI) Applications,14.2 explicitly covers how generative AI challenges authorship and ownership.
YES,learn/law/attribution-and-citing-sources.md,LAW-106,Attribution and Citing Sources,"14.2,11.6","11.3,11.6",Citing Sources | Use of Technology in Research,"11.3 IS Citing Sources. 14.2 was fair use, a different question."
YES,learn/law/contracts-and-terms.md,LAW-201,Contracts and Terms,14.1,14.4,Contracts & Contract Terminology,14.4 IS Contracts & Contract Terminology.
YES,learn/law/how-generative-ai-works.md,LAW-108,How Generative AI Works,4.7,4.6,Industry-Specific Artificial Intelligence (AI) Applications,4.6 covers AI applications and implications. 4.7 is responsible use.
YES,learn/law/licenses-cc-royalty-free-commercial.md,LAW-105,"Licenses: CC, Royalty-Free, Commercial","14.2,11.6","14.1,11.6",Intellectual Property (IP)Types | Use of Technology in Research,Licensing is IP protection plus respecting IP when sourcing.
YES,learn/law/ndas-and-confidentiality.md,LAW-111,NDAs and Confidentiality,14.1,14.3,Protecting Confidentiality,14.3 IS Protecting Confidentiality and names NDAs.
YES,learn/law/terms-of-use-and-platform-rules.md,LAW-107,Terms of Use and Platform Rules,14.1,14.5,Terms of Use,14.5 IS Terms of Use. Was buried under 14.1.
YES,learn/media/character-and-conflict.md,MEDIA-103,Character and Conflict,15.2,15.1,Narrative Storytelling,15.1 names character and conflict. 15.2 is platform-specific content.
YES,learn/media/continuity-and-coverage.md,MEDIA-107,Continuity and Coverage,15.5,"15.6,15.8",Cinematic Techniques | Editing Fundamentals,Continuity is named in 15.8 editing. 15.5 was pre-production.
YES,learn/media/editing-cuts-and-transitions.md,MEDIA-108,Editing: Cuts and Transitions,15.5,15.8,Editing Fundamentals,15.8 IS Editing Fundamentals.
YES,learn/media/exporting-and-delivery.md,MEDIA-114,Exporting and Delivery,15.8,15.9,Rendering & Exporting,15.9 IS Rendering & Exporting.
YES,learn/media/platform-and-audience.md,MEDIA-110,Platform and Audience,11.5,15.2,Platform-Specific Content,15.2 IS Platform-Specific Content. Was tagged to source credibility.
YES,learn/media/pre-production-documents.md,MEDIA-111,Pre-Production Documents,16.6,15.5,Pre-Production Planning,"15.5 IS Pre-Production Planning and names outlines, scripts, shot lists."
YES,learn/media/sound-in-story.md,MEDIA-109,Sound in Story,15.6,15.7,Audio Integration,15.7 IS Audio Integration. Was tagged to cinematic technique.
YES,learn/media/source-credibility-and-bias.md,MEDIA-113,Source Credibility and Bias,11.1,11.5,Source Credibility & Bias,11.5 IS Source Credibility & Bias. Exact match.
YES,learn/production/budgets-and-resources.md,PROD-206,Budgets and Resources,13.6,"16.5,13.5",Budgeting & Scheduling | Managing Budgets,16.5 IS Budgeting & Scheduling. 13.6 was client interaction.
YES,learn/production/giving-and-receiving-feedback.md,PROD-107,Giving and Receiving Feedback,"5.2,9.3","8.4,5.2",Constructive Feedback | Accepting & Applying Critique,Providing and accepting constructive feedback.
YES,learn/production/handoff-and-documentation.md,PROD-205,Handoff and Documentation,9.3,"16.7,2.5",Collaboration Software | Workplace Writing Formats,"Documentation and handoff. 9.3 was conflict management, unrelated."
YES,learn/production/meetings-standups-and-notes.md,PROD-106,"Meetings, Standups, and Notes",9.1,16.8,Project & Budget Meetings,16.8 IS Project & Budget Meetings. 9.1 is general collaboration.
YES,learn/production/pitching-a-concept.md,PROD-105,Pitching a Concept,"2.3,13.2","13.2,2.3",Pitching Creative Concepts | Oral Communication & Presentation Skills,13.2 IS Pitching Creative Concepts.
YES,learn/production/production-phases.md,PROD-101,Production Phases,16.1,16.6,Production Phases & Workflow,16.6 IS Production Phases & Workflow. 16.1 is tools and equipment.
YES,learn/production/project-planning-and-milestones.md,PROD-104,Project Planning and Milestones,"8.4,16.2","16.5,DGA.18.8",Budgeting & Scheduling | Project Management Best Practices,Scheduling and milestones.
YES,learn/production/roles-on-a-creative-team.md,PROD-102,Roles on a Creative Team,"9.1,16.1",16.2,Roles & Responsibilities,16.2 IS Roles & Responsibilities.
YES,learn/production/scope-and-the-vertical-slice.md,PROD-204,Scope and the Vertical Slice,16.9,"16.9,GD.18.3",Logistics & Resource Planning | Concept Pitch & Iteration,Scope and resource planning.
YES,learn/production/task-boards-and-sprints.md,PROD-203,Task Boards and Sprints,16.8,"16.7,DGA.18.7",Collaboration Software | Project Management Technology,Project management software. 16.8 is meetings.
YES,learn/production/the-creative-brief.md,PROD-103,The Creative Brief,16.2,16.4,Creative Planning,16.4 names the creative brief explicitly.
YES,learn/production/the-game-design-document.md,PROD-201,The Game Design Document,16.4,"GD.18.2,16.4",Game Design Document (GDD) | Creative Planning,GD.18.2 IS the Game Design Document.
YES,learn/production/version-control-for-teams.md,PROD-202,Version Control for Teams,16.7,"16.7,4.5",Collaboration Software | Document & Asset Management,16.7 names version-controlled files.
YES,learn/unreal/audio-in-engine.md,UE-208,Audio in Engine,15.6,"15.7,GD.17.8",Audio Integration | Feedback Systems,Audio integration plus sound as player feedback.
YES,learn/unreal/collision-and-triggers.md,UE-204,Collision and Triggers,"GD.17.6,GD.20.3","GD.17.6,GD.17.7",Scripting & Level Layout | Gameplay Systems & Balancing,Triggers activate in-game events.
YES,learn/unreal/data-tables-and-save-systems.md,UE-302,Data Tables and Save Systems,GD.17.6,"GD.17.6,GD.20.3",Scripting & Level Layout | Game Development,Data-driven game logic.
YES,learn/unreal/importing-assets.md,UE-104,Importing Assets,"4.5,4.5",4.5,Document & Asset Management,Deduped. Asset import and organization.
YES,learn/unreal/input-and-character-movement.md,UE-203,Input and Character Movement,"GD.17.6,GD.20.3","GD.17.6,GD.17.7",Scripting & Level Layout | Gameplay Systems & Balancing,Movement is a core gameplay system.
YES,learn/unreal/landscape-and-environment.md,UE-207,Landscape and Environment,GD.18.1,GD.18.4,Worldbuilding,Environment building is worldbuilding. GD.18.1 was department roles.
YES,learn/unreal/level-blockout-workflow.md,UE-206,Level Blockout Workflow,GD.17.8,"GD.17.6,GD.18.4",Scripting & Level Layout | Worldbuilding,Level structuring and world construction.
YES,learn/unreal/lighting-basics.md,UE-106,Lighting Basics,GD.17.3,AV.17.1,Art & Design Fundamentals,AV.17.1 names lighting and mood. GD.17.3 was narrative design.
YES,learn/unreal/materials-basics.md,UE-105,Materials Basics,"10.3,10.3","AV.17.1,GD.17.4",Art & Design Fundamentals | Art & Design Fundamentals,Materials are shading and color. 10.3 is mood boards and diagrams.
YES,learn/unreal/nanite-and-lumen.md,UE-301,Nanite and Lumen,"GD.18.8,GD.19.2","GD.18.8,GD.20.1",Game Performance & Evaluation | Virtual Production Technology,Real-time rendering tech. GD.19.2 was a careers standard.
YES,learn/unreal/packaging-a-build.md,UE-209,Packaging a Build,GD.18.9,"15.9,GD.18.8",Rendering & Exporting | Game Performance & Evaluation,Packaging to platform spec. GD.18.9 was monetization.
YES,learn/unreal/project-setup-and-folder-structure.md,UE-102,Project Setup and Folder Structure,"4.3,4.5",4.5,Document & Asset Management,Folder structure and naming is asset management.
YES,learn/unreal/ui-widgets-and-hud.md,UE-205,UI Widgets and HUD,GD.20.2,"GD.18.7,GD.17.8",UX & UI | Feedback Systems,HUD is named in GD.17.8; UI design is GD.18.7.
YES,learn/unreal/variables-and-flow-control.md,UE-202,Variables and Flow Control,GD.17.6,"GD.17.6,GD.20.3",Scripting & Level Layout | Game Development,Scripting logic plus programming concepts.
no,learn/blender/rigging-basics.md,BLND-209,Rigging Basics,AV.17.8,AV.17.8,3D Animation Fundamentals,Rigging systems named in the standard text.
no,learn/career/education-and-training-routes.md,CAREER-111,Education and Training Routes,3.1,3.1,Career Pathways,Education and training routes are in 3.1's text.
no,learn/career/esports-careers.md,CAREER-202,Esports Careers,GD.19.3,GD.19.3,Esports,"Esports careers, exact match."
no,learn/career/resumes.md,CAREER-107,Resumes,3.8,3.8,Resumes & Portfolios,Resumes are named in the standard.
no,learn/career/the-arts-entertainment-design-cluster.md,CAREER-101,"The Arts, Entertainment & Design Cluster",3.1,3.1,Career Pathways,Cluster orientation is career pathway research.
no,learn/computing/keyboard-fluency-and-shortcuts.md,COMP-109,Keyboard Fluency and Shortcuts,4.3,4.3,Industry-Standard Technology,Tool fluency.
no,learn/gamedesign/playtesting-methods.md,GAME-204,Playtesting Methods,GD.18.6,GD.18.6,Playtesting,"Playtesting, exact match."
no,learn/gamedesign/worldbuilding-and-environmental-storytelling.md,GAME-205,Worldbuilding and Environmental Storytelling,GD.18.4,GD.18.4,Worldbuilding,"Worldbuilding, exact match."
no,learn/law/copyright-basics.md,LAW-102,Copyright Basics,14.1,14.1,Intellectual Property (IP)Types,Copyright is named in 14.1.
no,learn/law/fair-use-the-four-factors.md,LAW-104,Fair Use: The Four Factors,14.2,14.2,Fair Use,14.2 IS Fair Use.
no,learn/law/responsible-ai-use-and-verification.md,LAW-110,Responsible AI Use and Verification,"4.7,5.9","4.7,5.9",AI Responsible Use | AI & Critical Thinking,Correct already: responsible use plus validating AI output.
no,learn/law/trademark-and-publicity-rights.md,LAW-103,Trademark and Publicity Rights,14.1,14.1,Intellectual Property (IP)Types,Trademark and publicity rights named in 14.1.
no,learn/law/what-intellectual-property-is.md,LAW-101,What Intellectual Property Is,14.1,14.1,Intellectual Property (IP)Types,"IP types, exact match."
no,learn/media/camera-angles-and-movement.md,MEDIA-106,Camera Angles and Movement,15.6,15.6,Cinematic Techniques,15.6 names angles.
no,learn/media/narrative-structure.md,MEDIA-102,Narrative Structure,15.1,15.1,Narrative Storytelling,15.1 names narrative structure.
no,learn/media/point-of-view.md,MEDIA-104,Point of View,15.1,15.1,Narrative Storytelling,15.1 names point of view.
no,learn/media/reading-a-media-message.md,MEDIA-112,Reading a Media Message,11.1,11.1,Critical Inquiry & Media Analysis,Critical inquiry and media analysis.
no,learn/media/shot-types-and-framing.md,MEDIA-105,Shot Types and Framing,15.6,15.6,Cinematic Techniques,15.6 names shots and framing.
no,learn/media/what-makes-a-story.md,MEDIA-101,What Makes a Story,15.1,15.1,Narrative Storytelling,Narrative storytelling.
no,learn/production/asset-management-and-naming.md,PROD-108,Asset Management and Naming,"4.5,16.7","4.5,16.7",Document & Asset Management | Collaboration Software,Correct already.
no,learn/unreal/blueprint-fundamentals.md,UE-201,Blueprint Fundamentals,GD.17.6,GD.17.6,Scripting & Level Layout,"Visual scripting, exact match."
no,learn/unreal/interface-and-navigation.md,UE-101,Interface and Navigation,4.3,4.3,Industry-Standard Technology,Engine navigation is tool fluency.
